PickupDate,fhvrides,Yellowrides,Greenrides
2016-07-10T00:00:00.0000000,327276,302693,44746
2017-08-15T00:00:00.0000000,486221,274507,24579
2018-04-21T00:00:00.0000000,823443,319168,29803
2016-01-12T00:00:00.0000000,274021,367390,41124
2016-12-23T00:00:00.0000000,419658,315757,43206
2018-11-10T00:00:00.0000000,936089,311349,25575
2017-05-01T00:00:00.0000000,428245,303360,29674
2016-12-15T00:00:00.0000000,556242,404341,46087
2018-05-08T00:00:00.0000000,631845,309713,25200
2016-07-16T00:00:00.0000000,398331,350449,56296
2015-07-02T00:00:00.0000000,128796,365953,51527
2015-04-07T00:00:00.0000000,122520,425909,47404
2018-12-03T00:00:00.0000000,678278,267743,21977
2016-04-01T00:00:00.0000000,365034,411731,57024
2018-08-08T00:00:00.0000000,701951,290063,21660
2015-10-18T00:00:00.0000000,276510,400212,58732
2015-12-06T00:00:00.0000000,279285,398882,55330
2015-09-25T00:00:00.0000000,227387,365190,54180
2015-03-13T00:00:00.0000000,115527,476936,64178
2015-09-02T00:00:00.0000000,204324,368359,43424
2015-08-02T00:00:00.0000000,159842,348541,56700
2017-04-11T00:00:00.0000000,423693,312024,30119
2016-05-14T00:00:00.0000000,393706,435309,67398
2015-01-16T00:00:00.0000000,105375,478124,59926
2018-02-17T00:00:00.0000000,805404,305445,30906
2016-03-09T00:00:00.0000000,296904,384571,45284
2018-07-19T00:00:00.0000000,693594,277232,22971
2015-09-08T00:00:00.0000000,215946,374896,42998
2018-06-20T00:00:00.0000000,693247,307880,25155
2016-10-13T00:00:00.0000000,404169,367959,38542
2017-01-01T00:00:00.0000000,455219,281263,40938
2015-03-16T00:00:00.0000000,87680,374820,44450
2015-06-04T00:00:00.0000000,148807,444543,53318
2015-01-05T00:00:00.0000000,71063,363454,41923
2018-04-16T00:00:00.0000000,691121,281191,23201
2018-01-25T00:00:00.0000000,672124,331916,27467
2015-11-20T00:00:00.0000000,325303,422421,59936
2016-04-29T00:00:00.0000000,370835,416560,55564
2017-02-13T00:00:00.0000000,450253,320121,33045
